run_id,date,domain,mode,description,command,code_tag,status,cities_done,notes
R011,2026-07-14,weather,regime,"CANONICAL: cost-decision-rule regime sweep, Nairobi weather domain per ANALYSIS_PLAN.md S7","python run_forecast.py regime --source weather_csv --data-path data/weather/nairobi.csv --pm25-window-dir data/cities_final --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_nairobi_weather",e14e80a,done,1,"UNAFFECTED by the ffill bug (Nairobi window ends 2021-03, well inside weather coverage). 104wk regime skipped (insufficient history). lgbm_direct sweeps almost every cell -- most one-sided decision table of the regime runs; nas_gru only wins wtp=20000 at train_weeks>=26"
R012,2026-07-15,weather,regime,"CANONICAL: cost-decision-rule regime sweep, Beijing weather domain (TEMP forecasting via new weather_pm25 source) -- closes the 6th/final regime combo previously blocked by PRSA-vs-OpenMeteo format incompatibility","python run_forecast.py regime --source weather_pm25 --data-path data/beijing_pm25/PRSA_Data_20130301-20170228 --column Aotizhongxin --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_beijing_weather",262a8a5,done,1,"UNAFFECTED by the ffill bug (PRSA-native loader, no reindex). All 5 regimes ran. chronos holds several low-wtp cells even on temperature (Beijing's long clean history helps the FM); lgbm_direct takes mid-history/mid-wtp, nas_gru wins high-wtp at longer histories. Run under uncommitted weather_pm25 loader (code_tag -dirty); commit pending."
R013,2026-07-15,weather,cities,"CANONICAL FIX: regeneration of the 4 weather-panel cities (seoul/berlin/amsterdam/vienna) corrupted by the ffill fabrication bug, under the clipped/no-fabrication loader; checkpoint resume of R005's out-prefix","python run_forecast.py cities --source weather_csv --data-dir data/weather --pm25-window-dir data/cities_final --manifest cities_manifest.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --folds 6 --out-prefix results/v1/weather_panel/canonical",262a8a5,done,29,"DONE, all 4 cities regenerated with sane windows clipped to real weather coverage. CORRECTED weather headline (fixed panel, 29 cities): lgbm_direct wins both tiers, MORE decisively than the buggy version -- mean MASE rich=0.606/scarce=0.464 vs chronos 0.851/0.738; chronos beats specialist on only 14% rich / 7% scarce. Panel significance (L-023): lgbm vs chronos Wilcoxon p=1.4e-6, avg rank lgbm 1.28. All 4 weather rigor artifacts regenerated (L-021..L-024 supersede L-014..L-017)."
R014,2026-07-15,weather,regime,"CANONICAL FIX: Seoul weather regime rerun under fixed loader (supersedes R010)","python run_forecast.py regime --source weather_csv --data-path data/weather/seoul.csv --pm25-window-dir data/cities_final --with-chronos --with-nas --seeds 42,43,44,45,46 --retrain-per-fold --folds 6 --train-weeks 4,12,26,52,104 --wtp 0,500,1500,5000,20000 --out-prefix results/v1/regime/canonical_seoul_weather",262a8a5,pending,0,"queued behind R013 (GPU + clean energy measurement isolation)"
R015,2026-07-15,pm25,single,"CANONICAL: Beijing Aotizhongxin single-station depth run at pre-registered 6 folds (supersedes pilot R001 for citation)","python run_forecast.py single --source pm25 --data-path data/beijing_pm25/PRSA_Data_20130301-20170228 --column Aotizhongxin --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --rigor --folds 6 --out-prefix results/v1/beijing/canonical_beijing_aoti",262a8a5,pending,0,"queued behind R014"
R016,2026-07-15,both,energy,"S5 energy repeatability: fixed workload (single, 6 folds, all tiers, nas seed 42) x 5 reps x 3 cities (Beijing/Seoul/Nairobi) -> mean +/- sd per tier, 20% sd/mean gate per ANALYSIS_PLAN.md S5","python analysis/energy_repeatability.py --run && python analysis/energy_repeatability.py",262a8a5,done,3,"DONE (L-025). 4/15 (city,tier) cells exceed the 20% gate: 3 are seasonal_naive (absolute energy 2-16 J -> measurement noise dominates a near-zero cost, meaningless) and 1 is nairobi-chronos (sd/mean 0.997 -- one cold-start rep outlier; report as range per pre-reg). Stable tiers (sd/mean): beijing chronos 0.20, lgbm 0.16, chronos_cov 0.13; seoul all <0.14. Per ANALYSIS_PLAN.md S5 the >20% cells are reported as ranges in the main energy table, not point estimates."
R017,2026-07-15,pm25,cities,"Pre-registered SECONDARY (ANALYSIS_PLAN.md S3): 29-city PM2.5 panel at horizon 48h, otherwise canonical settings","python run_forecast.py cities --source pm25 --data-dir data/cities --manifest cities_manifest.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --folds 6 --horizon 48 --out-prefix results/v1/horizon48/pm25_h48",262a8a5,done,29,"29/32 done. h=48 PM2.5 agrees with h=24 story: chronos 0.547(rich)/0.892(scarce) vs lgbm 0.535/0.885 -- still tie territory, same ordering"
R018,2026-07-15,weather,cities,"Pre-registered SECONDARY (ANALYSIS_PLAN.md S3): 29-city weather panel at horizon 48h, otherwise canonical settings (fixed loader)","python run_forecast.py cities --source weather_csv --data-dir data/weather --pm25-window-dir data/cities_final --manifest cities_manifest.csv --with-chronos --with-nas --seeds 42,43,44,45,46 --measure-energy --retrain-per-fold --folds 6 --horizon 48 --out-prefix results/v1/horizon48/weather_h48",262a8a5,done,29,"29/32 done. h=48 weather: lgbm face-value lead grows (0.724/0.533 vs chronos 1.094/0.958) -- SAME perfect-foresight caveat as h=24 (R021): this run used default perfect-foresight covariates, gap widens with horizon exactly as artifact hypothesis predicts; S-table caption must say so"
R019,2026-07-15,pm25,sweep,"CANONICAL basis for the '12/12 Beijing stations' claim: 12-station PRSA sweep, chronos vs lgbm vs naive, 6 folds (the old 12/12 number came from the archived pre-sanitize pilot and must not be cited)","python run_forecast.py sweep --source pm25 --data-path data/beijing_pm25/PRSA_Data_20130301-20170228 --n 12 --with-chronos --retrain-per-fold --folds 6 --out-prefix results/v1/beijing/canonical_sweep12",262a8a5,done,12,"VERIFIED on canonical post-sanitize data (L-026): chronos beats lgbm_direct on 12/12 stations AND beats both lgbm and seasonal_naive on 12/12. chronos MASE 0.153-0.297 vs lgbm 0.292-0.458 vs floor 1.02-1.24. Beijing PM2.5 = perfect-foresight covariates barely matter here (see R020), so lgbm not inflated -> the 12/12 headline is solid and citable. NOTE energy_source=tdp_proxy (no --measure-energy on the sweep; sweep mode doesn't wire codecarbon), accuracy-only run."
R020,2026-07-15,pm25,cities,"REVIEWER-FIX ABLATION: lgbm_direct with CAUSAL covariates (weather at forecast origin, not perfect origin+h forecast) -- isolates how much specialist skill is perfect-foresight covariate access. seasonal_naive+lgbm only, no energy","python run_forecast.py cities --source pm25 --data-dir data/cities --manifest cities_manifest.csv --retrain-per-fold --folds 6 --causal-covariates --out-prefix results/v1/pm25_panel/causal_ablation",262a8a5,done,29,"CPU-only, parallel to GPU queue; compared post-hoc vs canonical chronos (R004)"
R021,2026-07-15,weather,cities,"REVIEWER-FIX ABLATION: lgbm_direct with CAUSAL covariates, weather domain -- the critical test of whether the 'domain flip' (lgbm wins weather) is real forecasting skill or a perfect-foresight artifact (weather covariates near-deterministic of temperature target)","python run_forecast.py cities --source weather_csv --data-dir data/weather --pm25-window-dir data/cities_final --manifest cities_manifest.csv --retrain-per-fold --folds 6 --causal-covariates --out-prefix results/v1/weather_panel/causal_ablation",262a8a5,done,29,"CPU-only, parallel; compared post-hoc vs canonical chronos (R005/R013). HEADLINE-CRITICAL. VERDICT (L-027, analysis/causal_covariate_ablation.py): the 'specialist wins weather' headline is a PERFECT-FORESIGHT ARTIFACT. lgbm with perfect future weather beats chronos 26/29 cities (p=1.4e-6, mean 0.533 vs 0.792); lgbm with realistic causal covariates (last-known weather) only 16/29, p=0.29 -> statistical TIE with chronos (0.745 vs 0.792). Foresight worth +0.212 MASE in weather (p=2.6e-8) vs ~0 in PM2.5. CONCLUSION: under realistic covariate availability, the zero-shot FM is competitive with the tuned specialist in BOTH domains; the specialist's apparent weather edge requires an unrealistic perfect NWP forecast. This reframes the paper's central claim -- abstract must NOT say 'specialists win weather forecasting' unconditionally."
